Metric,Climate,Group,Parameter,Class,Estimate,Est.Error,Q2.5,Q97.5
Mean temperature,Latitude,Latitude,B2,599-856,-0.658778,1.372008,-3.356663,2.0843401
Mean temperature,Latitude,Latitude,B2,856-1100,-5.49802271,1.082995,-7.630378,-3.3655378
Mean temperature,Latitude,Latitude,B2,1100-1320,-0.6983154,1.162218,-2.971191,1.6078255
Mean temperature,Latitude,Latitude,B2,1320-1500,-4.54762317,1.116157,-6.710866,-2.3467563
Mean temperature,Latitude,Latitude,B2,1500-1670,-13.07587991,3.275961,-19.576237,-6.7984248
Mean temperature,Latitude,Latitude,B2,1670-1870,-9.83717773,2.601967,-15.01598,-4.7984456
Mean temperature,Latitude,Latitude,B2,1870-2090,-1.11293024,1.869494,-4.749147,2.5676664
Mean temperature,Latitude,Latitude,B2,2090-2330,2.03878541,2.158016,-2.020795,6.3354202
Mean temperature,Latitude,Latitude,B2,2330-2780,-0.08193081,4.1009,-7.497596,8.5576718
Mean temperature,Latitude,Latitude,B2,2780-3740,-9.69016454,6.281744,-22.676665,2.4205612
Temperature difference,Elevation,Elevation,Intercept,36.6-39.3,-0.8430463,0.24130177,-1.3425337,-0.3600384
Temperature difference,Elevation,Elevation,Intercept,39.3-41.2,-0.6707621,0.21337812,-1.1003032,-0.237547
Temperature difference,Elevation,Elevation,Intercept,41.2-43.2,-0.8475021,0.08504243,-1.0151546,-0.6807108
Temperature difference,Elevation,Elevation,Intercept,43.2-44.6,-0.845544,0.07946902,-1.0003856,-0.6827351
Temperature difference,Elevation,Elevation,Intercept,44.6-46.3,-0.8537367,0.07754898,-1.0127228,-0.6991782
Temperature difference,Elevation,Elevation,Intercept,46.3-48.0,-0.8460724,0.03774975,-0.9197303,-0.7723441
Temperature difference,Elevation,Elevation,Intercept,48.0-50.0,-0.2844479,0.02429802,-0.3317861,-0.2370353
Temperature difference,Elevation,Elevation,Intercept,50.0-52.1,0.3967222,0.02159391,0.3546088,0.4390807
Temperature difference,Elevation,Elevation,Intercept,52.1-54.2,0.4623673,0.02271039,0.4188001,0.5079922
Temperature difference,Elevation,Elevation,Intercept,54.2-58.1,0.5095154,0.15348354,0.1944417,0.7954809
Temperature difference,Elevation,Elevation,Intercept,58.1-62.1,1.5190376,0.23484498,1.0571616,1.9632342
Temperature difference,Elevation,Elevation,Intercept,62.1-66.2,1.9512256,0.32133224,1.3450912,2.5840904
Temperature difference,Elevation,Elevation,B1,36.6-39.3,0.7545595,6.6677099,-12.9686291,14.543092
Temperature difference,Elevation,Elevation,B1,39.3-41.2,0.6785835,7.5196424,-15.1228923,15.909595
Temperature difference,Elevation,Elevation,B1,41.2-43.2,10.9760239,4.416492,2.4805026,19.775388
Temperature difference,Elevation,Elevation,B1,43.2-44.6,1.1553516,2.7323396,-4.1748892,6.636575
Temperature difference,Elevation,Elevation,B1,44.6-46.3,-0.3970869,3.0450567,-6.7147904,5.423223
Temperature difference,Elevation,Elevation,B1,46.3-48.0,-0.1366128,1.5499422,-3.1753023,2.904994
Temperature difference,Elevation,Elevation,B1,48.0-50.0,-0.1714719,1.1273536,-2.4279,1.983657
Temperature difference,Elevation,Elevation,B1,50.0-52.1,3.0848007,0.7055481,1.696291,4.473389
Temperature difference,Elevation,Elevation,B1,52.1-54.2,0.6956635,0.8492924,-0.9760153,2.364841
Temperature difference,Elevation,Elevation,B1,54.2-58.1,-5.881079,4.4252417,-15.4363308,2.091742
Temperature difference,Elevation,Elevation,B1,58.1-62.1,-12.5855266,7.2365421,-26.6425163,1.136607
Temperature difference,Elevation,Elevation,B1,62.1-66.2,-24.5962169,11.1553885,-45.5381334,-2.247365
Temperature difference,Elevation,Elevation,B2,36.6-39.3,-0.1069308,2.4195674,-5.024744,4.7108363
Temperature difference,Elevation,Elevation,B2,39.3-41.2,-2.7680034,5.9243111,-14.470778,9.0320964
Temperature difference,Elevation,Elevation,B2,41.2-43.2,-8.5085227,4.7978866,-18.280504,0.7148757
Temperature difference,Elevation,Elevation,B2,43.2-44.6,0.3833143,4.535661,-8.23292,9.8928442
Temperature difference,Elevation,Elevation,B2,44.6-46.3,0.3522168,3.602697,-6.733805,7.5058186
Temperature difference,Elevation,Elevation,B2,46.3-48.0,2.0108119,2.2335731,-2.294369,6.5166095
Temperature difference,Elevation,Elevation,B2,48.0-50.0,-7.3452896,1.112919,-9.521451,-5.2014493
Temperature difference,Elevation,Elevation,B2,50.0-52.1,-10.8395615,0.8895664,-12.573859,-9.0526285
Temperature difference,Elevation,Elevation,B2,52.1-54.2,-16.4510247,0.9206911,-18.26217,-14.6503816
